 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.183814,-4.86273,-0.015804,-2.39369,125.887,22.8536,3.77264,7.96384,-0.724812,-0.688947,-207.342,3.01191,246.061,237.554,243.46,243.327,-204.743,-212.829,-207.216
-0.132129,-4.56498,-0.017177,-2.42664,128.899,22.4241,4.35215,7.42165,-0.750758,-0.660577,-209.558,3.00959,248.624,239.785,245.456,245.357,-206.683,-214.461,-209.471
-0.0508078,-4.2221,-0.0196251,-2.50038,131.909,21.6164,5.03534,6.77831,-0.7822,-0.623027,-211.859,2.99756,251.226,241.985,247.327,247.287,-208.722,-216.082,-211.828
0.0426331,-4.0863,-0.0206,-2.54061,134.906,21.2222,5.83047,6.06972,-0.818241,-0.574876,-214.256,2.98148,253.855,244.118,249.049,249.084,-210.904,-217.745,-214.28
0.127409,-3.74245,-0.0228469,-2.62735,137.888,20.4517,6.66802,5.28592,-0.857236,-0.514923,-216.757,2.96974,256.431,246.183,250.606,250.715,-213.324,-219.479,-216.823
0.18372,-3.13277,-0.0241941,-2.67442,140.858,20.0824,7.51717,4.47218,-0.897211,-0.441603,-219.374,2.97262,258.889,248.132,251.98,252.145,-216.054,-221.348,-219.455
0.2,-1.65331,-0.0296443,-2.78088,143.83,19.547,8.3373,3.68158,-0.933956,-0.357388,-222.113,2.98176,261.128,249.903,253.154,253.341,-219.133,-223.429,-222.185
0.196496,-1.3057,-0.0315515,-2.842,146.812,19.3771,9.05121,3.0009,-0.963564,-0.267476,-224.962,2.98431,263.001,251.388,254.09,254.28,-222.541,-225.765,-225.015
0.193341,-0.789402,-0.0339657,-2.97365,149.796,19.1304,9.51767,2.49164,-0.984998,-0.172567,-227.89,2.98107,264.317,252.488,254.751,254.942,-226.248,-228.32,-227.923
0.195021,-0.526579,-0.0350331,-3.04261,152.777,19.0477,9.74009,2.19341,-0.997425,-0.0717116,-230.867,2.97576,265.025,253.122,255.115,255.31,-230.168,-231.024,-230.881
0.2,-0.293556,-0.0367184,3.09678,155.753,18.9609,9.84563,2.01852,-0.999364,0.0356527,-233.862,2.97423,265.205,253.348,255.166,255.366,-234.213,-233.79,-233.855
0.2,-0.198278,-0.0368545,3.02323,158.727,18.9299,9.8963,1.89665,-0.989005,0.14788,-236.845,2.97999,264.879,253.216,254.894,255.091,-238.308,-236.564,-236.815
0.190597,0,-0.0377572,2.87425,161.707,18.9089,9.88964,1.85993,-0.96618,0.257869,-239.782,2.98497,264.036,252.684,254.296,254.481,-242.332,-239.303,-239.733
0.185283,0.0499668,-0.0376175,2.79895,164.692,18.9089,9.75019,1.95833,-0.932205,0.36193,-242.638,2.98421,262.637,251.722,253.375,253.548,-246.167,-241.929,-242.571
0.189324,0.0675205,-0.0375184,2.64864,167.677,18.9215,9.50794,2.19818,-0.887306,0.461181,-245.374,2.97709,260.747,250.36,252.142,252.31,-249.759,-244.36,-245.287
0.2,0.22478,-0.0370512,2.57413,170.654,18.9287,9.16249,2.56927,-0.831246,0.555904,-247.953,2.96538,258.401,248.649,250.618,250.784,-253.047,-246.525,-247.842
0.2,1.71695,-0.0324769,2.43418,173.619,19.0477,8.68502,3.04688,-0.763028,0.646365,-250.339,2.95971,255.614,246.662,248.834,248.987,-255.952,-248.369,-250.209
0.155267,2.00242,-0.0311015,2.37057,176.579,19.2271,8.12347,3.61885,-0.687406,0.726274,-252.5,2.97351,252.522,244.45,246.831,246.938,-258.399,-249.871,-252.387
0.0718169,2.28051,-0.029034,2.25072,179.552,19.6577,7.4797,4.29301,-0.613037,0.790054,-254.439,2.99528,249.257,242.04,244.628,244.672,-260.348,-251.047,-254.382
-0.0261081,2.3317,-0.0282352,2.1935,182.547,19.8883,6.7353,5.07082,-0.543,0.839732,-256.169,3.01225,245.885,239.474,242.242,242.228,-261.825,-251.911,-256.191
-0.113577,2.64229,-0.0261777,2.08444,185.56,20.3659,5.94199,5.90944,-0.47871,0.877973,-257.703,3.01573,242.488,236.815,239.698,239.644,-262.92,-252.515,-257.803
-0.171942,2.96948,-0.0247581,2.03356,188.575,20.6237,5.15372,6.70849,-0.420812,0.907148,-259.053,3.00463,239.127,234.136,237.031,236.959,-263.728,-252.968,-259.209
-0.195551,4.32899,-0.0203127,1.94289,191.58,21.2483,4.39768,7.41061,-0.367371,0.930075,-260.232,2.99566,235.823,231.485,234.279,234.207,-264.323,-253.34,-260.414
-0.2,4.9,-0.0182693,1.90431,194.576,21.6519,3.73897,8.03154,-0.316693,0.948528,-261.253,2.99292,232.587,228.859,231.466,231.403,-264.799,-253.635,-261.442
-0.19965,4.9,-0.0155399,1.83722,197.569,22.5387,3.21951,8.53953,-0.269298,0.963057,-262.126,2.99486,229.418,226.251,228.604,228.551,-265.226,-253.902,-262.318
-0.199396,4.9,-0.0145265,1.80716,200.564,22.9693,2.82721,8.94204,-0.225627,0.974214,-262.864,2.99973,226.296,223.64,225.703,225.658,-265.618,-254.152,-263.058
-0.199668,4.9,-0.0125717,1.753,203.563,23.8072,2.57882,9.21987,-0.185938,0.982561,-263.478,3.00583,223.21,221.016,222.767,222.73,-266.012,-254.419,-263.675
-0.199955,4.88924,-0.0115949,1.72884,206.569,24.2152,2.44675,9.36309,-0.150366,0.98863,-263.981,3.01164,220.142,218.366,219.804,219.774,-266.4,-254.725,-264.179
-0.2,4.8496,-0.0096285,1.68641,209.581,25.008,2.43084,9.39819,-0.118952,0.9929,-264.385,3.01584,217.085,215.678,216.82,216.796,-266.799,-255.054,-264.584
-0.19998,4.83036,-0.008686,1.6681,212.597,25.3928,2.51498,9.34089,-0.0916794,0.995789,-264.701,3.01732,214.033,212.946,213.821,213.803,-267.206,-255.4,-264.9
-0.2,4.79295,-0.00693,1.63699,215.614,26.1411,2.64454,9.21487,-0.0684829,0.997652,-264.941,3.01512,210.981,210.168,210.813,210.8,-267.58,-255.748,-265.141
-0.199382,4.77474,-0.0063348,1.62373,218.629,26.5051,2.82006,9.01843,-0.0493494,0.998782,-265.118,3.00872,207.933,207.348,207.803,207.793,-267.934,-256.11,-265.317
-0.195204,4.73926,-0.0049911,1.60101,221.638,27.2147,3.05446,8.78369,-0.0339429,0.999424,-265.242,3.00142,204.894,204.492,204.797,204.79,-268.295,-256.463,-265.437
-0.186538,4.72196,-0.0042307,1.59178,224.639,27.5607,3.35534,8.5219,-0.0216938,0.999765,-265.325,2.99577,201.865,201.608,201.797,201.792,-268.679,-256.805,-265.511
-0.174349,4.68818,-0.0027861,1.57779,227.635,28.2364,3.68459,8.22502,-0.0124653,0.999922,-265.375,2.99157,198.845,198.696,198.801,198.799,-269.059,-257.151,-265.55
-0.159198,4.67168,-0.0020814,1.57292,230.626,28.5664,4.02582,7.88853,-0.0063229,0.99998,-265.402,2.98863,195.834,195.759,195.809,195.808,-269.428,-257.514,-265.562
-0.141315,4.6394,-0.0006887,1.56739,233.615,29.212,4.39269,7.5195,-0.0032739,0.999995,-265.416,2.98687,192.835,192.796,192.821,192.82,-269.809,-257.897,-265.557
-0.120731,4.62361,2.1e-06,1.5667,236.602,29.5279,4.76289,7.12399,-0.0033302,0.999995,-265.425,2.98627,189.849,189.81,189.834,189.834,-270.188,-258.301,-265.546
-0.0973816,4.59267,0.0013861,1.56947,239.588,30.1465,5.12349,6.73496,-0.0064935,0.999979,-265.439,2.98689,186.88,186.803,186.848,186.847,-270.562,-258.704,-265.536
-0.0712074,4.57752,0.0020832,1.57294,242.575,30.4496,5.4771,6.34399,-0.01276,0.999919,-265.467,2.9889,183.93,183.779,183.861,183.86,-270.944,-259.124,-265.538
-0.0422555,-9.33555,0.0035017,1.5841,245.564,31.044,5.82799,5.92804,-0.0221154,0.999755,-265.518,2.99253,181,180.74,180.872,180.871,-271.345,-259.592,-265.561
-0.0108082,-9.06622,0.0042289,1.59183,248.557,30.4368,6.1647,5.48406,-0.0345419,0.999403,-265.602,2.99808,178.093,177.69,177.88,177.88,-271.763,-260.122,-265.613
0.0224633,-8.11896,0.0057456,1.61175,251.555,29.2544,6.49887,5.04758,-0.0499827,0.99875,-265.728,3.00413,175.209,174.632,174.883,174.885,-272.219,-260.687,-265.706
0.0561328,-7.71221,0.0065355,1.62402,254.559,28.6941,6.82666,4.59759,-0.0683113,0.997664,-265.905,3.00757,172.353,171.572,171.883,171.887,-272.716,-261.318,-265.849
0.0881603,-7.04191,0.0080579,1.65323,257.566,27.6244,7.19123,4.19717,-0.0894907,0.995988,-266.142,3.00847,169.534,168.514,168.882,168.89,-273.304,-261.961,-266.054
0.11693,-6.778,0.0087871,1.67007,260.575,27.1099,7.56306,3.8355,-0.113565,0.993531,-266.446,3.0074,166.759,165.464,165.886,165.9,-273.96,-262.636,-266.33
0.141473,-6.36357,0.0101961,1.70805,263.582,26.1084,7.92444,3.5288,-0.140562,0.990072,-266.827,3.00502,164.034,162.424,162.9,162.92,-274.673,-263.333,-266.687
0.161458,-6.20675,0.0108754,1.72912,266.587,25.6164,8.21433,3.28614,-0.170496,0.985358,-267.293,3.00209,161.357,159.396,159.929,159.957,-275.387,-264.055,-267.134
0.177066,-5.96738,0.0122289,1.77531,269.589,24.639,8.43009,3.11384,-0.203348,0.979107,-267.852,2.99945,158.727,156.38,156.977,157.013,-276.106,-264.804,-267.679
0.188728,-5.86199,0.0129157,1.80045,272.589,24.1499,8.54908,3.03383,-0.239064,0.971004,-268.514,2.99806,156.138,153.369,154.049,154.094,-276.815,-265.568,-268.33
0.196709,-5.54265,0.014438,1.85503,275.587,23.1685,8.57342,3.0373,-0.277512,0.960722,-269.285,2.99898,153.585,150.363,151.151,151.206,-277.522,-266.367,-269.096
0.2,-4.91108,0.0154628,1.88492,278.586,22.6851,8.4658,3.17164,-0.318568,0.9479,-270.176,3.00311,151.048,147.341,148.287,148.351,-278.201,-267.17,-269.986
0.191772,-3.63352,0.0195162,1.95439,281.589,21.8704,8.23171,3.44199,-0.36171,0.932291,-271.194,3.01093,148.513,144.291,145.466,145.536,-278.868,-267.985,-271.015
0.15435,-3.40156,0.0212738,1.99516,284.6,21.5357,7.87002,3.83714,-0.408034,0.912967,-272.348,3.01312,145.976,141.199,142.702,142.765,-279.533,-268.845,-272.207
0.0829788,-3.22598,0.0233976,2.08492,287.613,20.9068,7.34845,4.38236,-0.460498,0.887661,-273.651,3.00334,143.441,138.039,140.019,140.057,-280.174,-269.761,-273.578
-0.0080597,-3.18843,0.0242202,2.13252,290.616,20.5959,6.67008,5.10227,-0.519948,0.854198,-275.12,2.9866,140.911,134.79,137.447,137.443,-280.818,-270.762,-275.127
-0.0988155,-3.04492,0.0259625,2.23276,293.603,19.9716,5.8791,6.0236,-0.585367,0.810769,-276.771,2.97098,138.393,131.425,135.009,134.951,-281.538,-271.887,-276.851
-0.168184,-2.63767,0.0270374,2.28577,296.574,19.6644,4.97219,7.02192,-0.655534,0.755166,-278.62,2.9674,135.872,128.01,132.723,132.613,-282.375,-273.318,-278.747
-0.2,-1.33726,0.0309874,2.4012,299.541,19.1761,4.00772,7.97969,-0.727165,0.686463,-280.685,2.97792,133.372,124.655,130.603,130.457,-283.436,-275.207,-280.822
-0.2,-0.942259,0.0335641,2.46569,302.519,19.0361,3.15216,8.79026,-0.79376,0.608231,-282.967,2.98474,131.017,121.537,128.674,128.515,-284.885,-277.621,-283.089
-0.194601,-0.345703,0.0361088,2.60579,305.504,18.8687,2.534,9.42772,-0.852489,0.522745,-285.443,2.98402,128.974,118.776,126.979,126.813,-286.768,-280.515,-285.545
-0.194596,-0.137088,0.0370912,2.67893,308.488,18.8321,2.14693,9.8906,-0.903414,0.42877,-288.083,2.97829,127.321,116.446,125.557,125.382,-289.004,-283.842,-288.167
