start_layer,start_idx,end_layer,end_idx,coeffs_x,coeffs_y,kappa,points_x,points_y,raceline
1,7,2,5,152.418 12.0498 3.08394 -2.05311,-143.913 -9.08186 4.66933 -3.1091,0
1,7,2,6,152.418 11.9833 1.67052 -1.11373,-143.913 -9.03172 2.37172 -1.58121,0
1,7,2,7,152.418 11.9597 0.128346 -0.0884921,-143.913 -9.01391 0.171012 -0.117889,0
1,7,2,8,152.418 11.9792 -1.54325 1.02301,-143.913 -9.02863 -1.93209 1.28035,0
1,7,2,9,152.418 12.0417 -3.34353 2.22026,-143.913 -9.07572 -3.93794 2.61371,0
1,8,2,6,151.878 12.0422 3.10603 -2.0685,-144.633 -9.09006 4.69868 -3.12955,0
1,8,2,7,151.878 11.9757 1.69252 -1.12905,-144.633 -9.03987 2.40089 -1.60153,0
1,8,2,8,151.878 11.9521 0.150316 -0.1038,-144.633 -9.02204 0.200113 -0.138158,0
1,8,2,9,151.878 11.9716 -1.52123 1.00767,-144.633 -9.03678 -1.90295 1.26006,0
1,9,2,7,151.338 12.0345 3.12815 -2.0839,-145.353 -9.09826 4.72801 -3.14998,0
1,9,2,8,151.338 11.9681 1.71453 -1.14439,-145.353 -9.04801 2.43004 -1.62183,0
1,9,2,9,151.338 11.9445 0.172305 -0.119122,-145.353 -9.03017 0.22919 -0.15841,0
2,0,3,0,168.201 12.0085 -0.00698861 0.00698614,-147.837 -8.96117 -0.00937274 0.00936944,0
2,0,3,1,168.201 12.027 -1.68671 1.12681,-147.837 -8.97497 -2.1248 1.41966,0
2,0,3,2,168.201 12.0885 -3.48496 2.32206,-147.837 -9.02092 -4.12938 2.75125,0
2,1,3,0,167.661 12.0324 1.54286 -1.02624,-148.556 -8.97904 2.20294 -1.4655,0
2,1,3,1,167.661 12.0076 -0.00698071 0.00698071,-148.556 -8.96053 -0.00936216 0.00936216,1
2,1,3,2,167.661 12.0261 -1.676 1.11609,-148.556 -8.97433 -2.11043 1.40529,0
2,1,3,3,167.661 12.0877 -3.47419 2.31128,-148.556 -9.02028 -4.11493 2.73682,0
2,2,3,0,167.12 12.0907 2.98089 -1.98203,-149.276 -9.0406 4.53472 -3.01614,0
2,2,3,1,167.12 12.023 1.56007 -1.03485,-149.276 -8.98992 2.22599 -1.47703,0
2,2,3,2,167.12 11.9982 0.0208921 -0.0123036,-149.276 -8.97138 0.0279715 -0.0164739,0
2,2,3,3,167.12 12.0167 -1.64807 1.09677,-149.276 -8.9852 -2.07305 1.37943,0
2,2,3,4,167.12 12.0782 -3.44611 2.29185,-149.276 -9.03121 -4.07737 2.71083,0
2,3,3,1,166.579 12.0812 2.99821 -1.99069,-149.995 -9.05153 4.55789 -3.02773,0
2,3,3,2,166.579 12.0135 1.58801 -1.05417,-149.995 -9.00078 2.26339 -1.50291,0
2,3,3,3,166.579 11.9887 0.0488001 -0.0316133,-149.995 -8.98223 0.0652706 -0.0422853,0
2,3,3,4,166.579 12.0072 -1.62011 1.07741,-149.995 -8.99606 -2.03571 1.35359,0
2,3,3,5,166.579 12.0687 -3.418 2.27239,-149.995 -9.04213 -4.03984 2.68486,0
2,4,3,2,166.039 12.0717 3.02631 -2.01013,-150.715 -9.06246 4.59549 -3.05376,0
2,4,3,3,166.039 12.004 1.61599 -1.07353,-150.715 -9.01164 2.30075 -1.52877,0
2,4,3,4,166.039 11.9793 0.0767431 -0.0509482,-150.715 -8.99306 0.102535 -0.0680719,0
2,4,3,5,166.039 11.9977 -1.59211 1.05803,-150.715 -9.00691 -1.9984 1.32778,0
2,4,3,6,166.039 12.0592 -3.38986 2.25291,-150.715 -9.05305 -4.00234 2.65892,0
2,5,3,3,165.498 12.0622 3.05445 -2.02959,-151.434 -9.07338 4.63305 -3.07975,0
2,5,3,4,165.498 11.9945 1.644 -1.09291,-151.434 -9.02249 2.33807 -1.5546,0
2,5,3,5,165.498 11.9698 0.104721 -0.0703085,-151.434 -9.00388 0.139765 -0.0938338,0
2,5,3,6,165.498 11.9882 -1.56408 1.03863,-151.434 -9.01775 -1.96112 1.30199,0
2,5,3,7,165.498 12.0496 -3.36168 2.23339,-151.434 -9.06395 -3.96487 2.63301,0
2,6,3,4,164.958 12.0526 3.08263 -2.04908,-152.154 -9.08428 4.67057 -3.10573,0
2,6,3,5,164.958 11.985 1.67205 -1.11232,-152.154 -9.03333 2.37536 -1.5804,0
2,6,3,6,164.958 11.9603 0.132734 -0.089694,-152.154 -9.01469 0.17696 -0.119571,0
2,6,3,7,164.958 11.9787 -1.53601 1.0192,-152.154 -9.02858 -1.92388 1.27622,0
2,6,3,8,164.958 12.0401 -3.33346 2.21386,-152.154 -9.07484 -3.92745 2.60712,0
2,7,3,5,164.417 12.0431 3.11084 -2.06859,-152.874 -9.09518 4.70806 -3.13167,0
2,7,3,6,164.417 11.9755 1.70014 -1.13175,-152.874 -9.04415 2.41262 -1.60619,0
2,7,3,7,164.417 11.9508 0.160782 -0.109105,-152.874 -9.0255 0.214121 -0.145283,0
2,7,3,8,164.417 11.9692 -1.5079 0.999748,-152.874 -9.0394 -1.88667 1.25048,0
2,7,3,9,164.417 12.0306 -3.30521 2.1943,-152.874 -9.08573 -3.89005 2.58125,0
2,8,3,6,163.877 12.0335 3.13909 -2.08813,-153.593 -9.10606 4.74552 -3.1576,0
2,8,3,7,163.877 11.966 1.72826 -1.1512,-153.593 -9.05497 2.44984 -1.63194,0
2,8,3,8,163.877 11.9413 0.188865 -0.128541,-153.593 -9.03629 0.251246 -0.170971,0
2,8,3,9,163.877 11.9597 -1.47977 0.980268,-153.593 -9.05021 -1.8495 1.22477,0
2,9,3,7,163.336 12.0239 3.16737 -2.1077,-154.313 -9.11694 4.78294 -3.1835,0
2,9,3,8,163.336 11.9565 1.75641 -1.17068,-154.313 -9.06578 2.48702 -1.65768,0
2,9,3,9,163.336 11.9318 0.216983 -0.148002,-154.313 -9.04707 0.288337 -0.196633,0
3,0,4,0,180.21 12.0146 -0.00886044 0.00885711,-156.798 -8.95116 -0.0119051 0.0119006,0
3,0,4,1,180.21 12.0317 -1.68693 1.12758,-156.798 -8.96393 -2.12862 1.42305,0
3,0,4,2,180.21 12.092 -3.49252 2.33068,-156.798 -9.00884 -4.14642 2.76742,0
3,1,4,0,179.668 12.04 1.53925 -1.02321,-157.517 -8.97006 2.20159 -1.46375,0
3,1,4,1,179.668 12.0138 -0.00884987 0.00884987,-157.517 -8.95057 -0.0118909 0.0118909,1
3,1,4,2,179.668 12.031 -1.68503 1.12568,-157.517 -8.96335 -2.12606 1.42049,0
3,1,4,3,179.668 12.0912 -3.49062 2.32878,-157.517 -9.00826 -4.14384 2.76484,0
3,2,4,0,179.127 12.0976 2.97975 -1.97993,-158.236 -9.03548 4.54014 -3.01795,0
3,2,4,1,179.127 12.0285 1.56068 -1.03393,-158.236 -8.98384 2.23034 -1.47813,0
3,2,4,2,179.127 12.0023 0.0144346 -0.00373905,-158.236 -8.96432 0.0193313 -0.00499324,0
3,2,4,3,179.127 12.0195 -1.66172 1.11307,-158.236 -8.97712 -2.09479 1.40358,0
3,2,4,4,179.127 12.0797 -3.4672 2.31612,-158.236 -9.02211 -4.1124 2.74784,0
3,3,4,1,178.585 12.086 3.00133 -1.99072,-158.955 -9.04934 4.56903 -3.0324,0
3,3,4,2,178.585 12.017 1.58404 -1.04656,-158.955 -8.99761 2.2616 -1.49504,0
3,3,4,3,178.585 11.9908 0.0377507 -0.016344,-158.955 -8.97805 0.0505235 -0.021862,0
3,3,4,4,178.585 12.008 -1.63837 1.10045,-158.955 -8.99087 -2.06355 1.38669,0
3,3,4,5,178.585 12.0681 -3.44375 2.30345,-158.955 -9.03594 -4.081 2.73086,0
3,4,4,2,178.044 12.0744 3.02484 -2.00343,-159.673 -9.06317 4.60046 -3.0494,0
3,4,4,3,178.044 12.0054 1.60744 -1.0592,-159.673 -9.01136 2.29284 -1.51193,0
3,4,4,4,178.044 11.9793 0.0610985 -0.0289648,-159.673 -8.99177 0.0816857 -0.0387154,0
3,4,4,5,178.044 11.9964 -1.61499 1.08782,-159.673 -9.00461 -2.03234 1.36981,0
3,4,4,6,178.044 12.0566 -3.42027 2.29075,-159.673 -9.04975 -4.04963 2.71389,0
3,5,4,3,177.503 12.0628 3.04839 -2.01615,-160.392 -9.07699 4.63185 -3.06638,0
3,5,4,4,177.503 11.9939 1.63086 -1.07186,-160.392 -9.0251 2.32404 -1.52881,0
3,5,4,5,177.503 11.9678 0.0844779 -0.0416017,-160.392 -9.00547 0.112818 -0.0555534,0
3,5,4,6,177.503 11.9849 -1.59158 1.07516,-160.392 -9.01834 -2.00116 1.35295,0
3,5,4,7,177.503 12.045 -3.39675 2.27804,-160.392 -9.06355 -4.01828 2.69694,0
