 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.543812,5.85824,0.0318286,1.50098,265.348,13.8764,1.89686,2.39655,-0.0052733,0.999986,124.304,3.10174,121.306,121.284,121.293,121.296,122.407,126.701,124.848
0.70027,5.82388,0.0270745,1.61707,268.449,15.4669,1.98213,2.29993,-0.0519726,0.998649,124.214,3.07397,118.333,118.11,118.193,118.23,122.234,126.511,124.913
0.724976,5.80678,0.025995,1.66997,271.523,16.2006,2.08565,2.17498,-0.0944806,0.995527,123.991,3.05301,115.392,114.99,115.127,115.195,121.915,126.157,124.713
0.642759,5.77272,0.0206534,1.76306,274.576,17.5705,2.19166,2.10976,-0.136738,0.990607,123.642,3.03379,112.493,111.905,112.105,112.193,121.471,125.732,124.278
0.488821,5.75576,0.0184205,1.80202,277.61,18.214,2.23064,2.13702,-0.177544,0.984113,123.169,3.01626,109.621,108.845,109.138,109.225,120.974,125.272,123.65
0.293696,5.722,0.0146649,1.8677,280.626,19.4321,2.23742,2.19155,-0.217004,0.976171,122.578,3.00025,106.775,105.814,106.226,106.29,120.394,124.717,122.865
0.0810751,5.7052,0.01317,1.89546,283.627,20.0108,2.19304,2.29304,-0.254931,0.966959,121.873,2.98624,103.948,102.804,103.368,103.389,119.753,124.09,121.952
-0.131847,5.67174,0.0109425,1.94327,286.613,21.116,2.12352,2.36046,-0.291255,0.956646,121.059,2.97471,101.141,99.8355,100.561,100.523,119.028,123.317,120.933
-0.333544,5.65508,0.0101273,1.96428,289.588,21.6451,2.09475,2.42352,-0.325912,0.9454,120.14,2.96593,98.3749,96.9023,97.8009,97.6922,118.16,122.431,119.825
-0.517029,5.62191,0.0089654,2.00221,292.554,22.6619,2.11005,2.47006,-0.358875,0.933385,119.121,2.9599,95.6544,94.0107,95.0827,94.8971,117.152,121.427,118.639
