 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.206293,-0.301613,0.16521,-1.67992,82.2688,4.57839,0.892643,1.11256,-0.0136803,-0.999906,-41.1658,1.03133,29.9224,29.895,29.9074,29.9102,-40.2733,-42.2783,-41.3721
0.338029,-0.306114,0.169473,-1.56278,83.3001,4.53204,0.840741,1.31648,0.111319,-0.993785,-41.1161,1.04525,30.8031,31.0433,30.9343,30.8967,-40.2806,-42.4244,-41.452
0.413414,-0.258132,0.169733,-1.44454,84.3454,4.48451,0.752901,1.26341,0.222942,-0.974832,-40.9481,1.04314,31.7133,32.1628,31.9733,31.8812,-40.2142,-42.1797,-41.3511
0.417156,0.111159,0.173678,-1.20439,85.3885,4.41121,0.674192,1.36999,0.326275,-0.945275,-40.6738,1.02565,32.6198,33.2868,32.9759,32.8398,-40.0365,-41.9688,-41.0681
0.348807,0.463122,0.166383,-1.08518,86.4142,4.42881,0.647031,1.42237,0.424569,-0.905396,-40.305,1.00198,33.4746,34.3532,33.8974,33.7494,-39.7191,-41.5928,-40.6208
0.224941,2.0154,0.124868,-0.875642,87.4161,4.63998,0.650776,1.38536,0.515185,-0.857079,-39.8511,0.982568,34.2644,35.3134,34.7156,34.5997,-39.2933,-41.0385,-40.0439
0.0770734,3.33968,0.0927921,-0.799216,88.3987,4.93467,0.808528,1.26647,0.594692,-0.803954,-39.3192,0.968371,34.9138,36.1478,35.4404,35.3946,-38.6692,-40.3374,-39.3812
-0.0609154,5.47635,0.0449976,-0.706495,89.3671,5.93634,0.910915,1.16408,0.662303,-0.749236,-38.7162,0.962194,35.5351,36.9094,36.0981,36.1384,-38.0338,-39.5884,-38.6706
-0.167446,5.70546,0.0325342,-0.679318,90.3293,6.55033,1.09975,0.983555,0.718221,-0.695815,-38.049,0.965518,36.0457,37.542,36.7153,36.8356,-37.2838,-38.7334,-37.9325
-0.23593,5.75694,0.0272397,-0.658523,91.2948,7.13402,1.26463,0.809261,0.763486,-0.645825,-37.3245,0.976556,36.5249,38.1083,37.3103,37.4904,-36.5078,-37.8472,-37.1722
-0.268427,5.60672,0.0212182,-0.625335,92.2713,8.18514,1.35951,0.709892,0.79949,-0.60068,-36.5496,0.99208,37.0204,38.6749,37.8927,38.1073,-35.733,-36.976,-36.3883
-0.270001,5.52735,0.0198648,-0.610963,93.2634,8.65134,1.41975,0.634465,0.827689,-0.561187,-35.7311,1.009,37.5156,39.2159,38.4673,38.6908,-34.9344,-36.0872,-35.5796
-0.246815,5.47925,0.0174838,-0.584846,94.2724,9.50432,1.40127,0.644262,0.849416,-0.527724,-34.876,1.02483,38.0548,39.7923,39.0354,39.2451,-34.1365,-35.216,-34.7458
-0.205175,5.3791,0.0163142,-0.573014,95.2973,9.89964,1.37296,0.657318,0.865793,-0.500402,-33.9912,1.03781,38.5859,40.3437,39.597,39.7746,-33.3042,-34.3201,-33.8885
