alpha_m,ax_racetraj_mps2,delta_s,kappa_racetraj_radpm,psi_racetraj_rad,s_racetraj_m,vx_racetraj_mps,width_left_m,width_right_m,x_bound_l,x_bound_r,x_normvec_m,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_normvec_m,y_raceline,y_ref_m
0.197765,1.5926,2.99669,-3.62e-05,-2.21192,0,55.4709,2.04123,9.44176,144.989,138.117,-0.598463,143.649,143.768,-128.833,-138.033,-0.801151,-130.627,-130.469
0.196125,1.58256,2.99669,-3.23e-05,-2.21199,2.99669,55.5283,2.02059,9.45441,147.378,140.508,-0.598694,146.051,146.168,-130.644,-139.835,-0.800978,-132.42,-132.263
0.193899,1.56269,2.99669,-2.44e-05,-2.21211,5.99338,55.6418,2.00555,9.47644,149.769,142.893,-0.598922,148.452,148.568,-132.451,-141.646,-0.800807,-134.212,-134.057
0.191046,1.55287,2.99668,-2.05e-05,-2.21215,8.99007,55.6979,1.98036,9.48769,152.154,145.283,-0.599147,150.853,150.968,-134.267,-143.448,-0.800639,-136.005,-135.852
0.187525,1.53344,2.99667,-1.27e-05,-2.21222,11.9868,55.8089,1.94283,9.4893,154.531,147.679,-0.599368,153.254,153.367,-136.093,-145.244,-0.800474,-137.798,-137.648
0.183297,1.52383,2.99666,-8.7e-06,-2.21224,14.9834,55.8638,1.90464,9.48752,156.907,150.077,-0.599585,155.655,155.765,-137.92,-147.037,-0.800311,-139.591,-139.444
0.178321,-6.37867,2.99665,-9e-07,-2.21226,17.9801,55.9725,1.89184,9.48322,159.298,152.475,-0.5998,158.056,158.163,-139.728,-148.83,-0.80015,-141.384,-141.242
0.172557,-13.4788,2.99663,3e-06,-2.21226,20.9767,55.7441,1.89171,9.49015,161.696,154.867,-0.600011,160.457,160.561,-141.526,-150.631,-0.799992,-143.177,-143.039
0.165964,-13.4564,2.99661,1.09e-05,-2.21223,23.9734,54.769,1.90435,9.50249,164.101,157.254,-0.600218,162.858,162.958,-143.314,-152.438,-0.799836,-144.97,-144.838
0.158502,-13.4458,2.99658,1.48e-05,-2.2122,26.97,54.2755,1.92881,9.52179,166.513,159.638,-0.600423,165.259,165.355,-145.094,-154.251,-0.799683,-146.763,-146.637
0.150132,-13.426,2.99656,2.27e-05,-2.21213,29.9666,53.276,1.96166,9.54288,168.929,162.019,-0.600623,167.661,167.751,-146.868,-156.066,-0.799532,-148.556,-148.436
0.140812,-13.4167,2.99653,2.66e-05,-2.21208,32.9631,52.7697,1.97873,9.56188,171.335,164.401,-0.600821,170.062,170.146,-148.654,-157.88,-0.799384,-150.349,-150.236
0.130502,-13.3993,2.9965,3.44e-05,-2.21196,35.9596,51.7433,1.97441,9.56956,173.728,166.79,-0.601015,172.463,172.542,-150.459,-159.685,-0.799238,-152.141,-152.037
0.119163,-13.3913,2.99646,3.84e-05,-2.21188,38.9561,51.2229,1.95782,9.56454,176.113,169.186,-0.601206,174.865,174.936,-152.274,-161.481,-0.799094,-153.933,-153.838
0.106753,-13.3765,2.99642,4.62e-05,-2.21171,41.9526,50.1668,1.91765,9.58069,178.484,171.569,-0.601393,177.266,177.33,-154.108,-163.294,-0.798953,-155.725,-155.64
