 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
-0.112817,0.631684,1.3e-05,0.985758,200.915,58.3155,2.85555,11.527,0.55363,0.832763,62.8198,2.99871,-170.106,-162.144,-168.588,-168.525,60.4418,72.4191,62.7259
-0.117766,0.623568,1.31e-05,0.985784,203.914,58.3372,2.85359,11.515,0.553571,0.832802,64.4799,2.99871,-172.602,-164.648,-171.088,-171.022,62.1034,74.0696,64.3818
-0.122617,0.607654,1.33e-05,0.985837,206.913,58.3796,2.84668,11.4971,0.55351,0.832842,66.1398,2.9987,-175.096,-167.156,-173.588,-173.52,63.769,75.7151,66.0377
-0.127366,0.599855,1.33e-05,0.985863,209.911,58.4004,2.83379,11.497,0.553448,0.832884,67.7995,2.9987,-177.586,-169.654,-176.088,-176.017,65.4393,77.3752,67.6934
-0.132009,0.584563,1.35e-05,0.985917,212.91,58.4412,2.80931,11.4913,0.553384,0.832926,69.4591,2.99869,-180.07,-172.156,-178.588,-178.515,67.1191,79.0304,69.3491
-0.136539,0.577067,1.36e-05,0.985944,215.909,58.4612,2.79237,11.4746,0.553319,0.83297,71.1184,2.99869,-182.558,-174.664,-181.088,-181.013,68.7924,80.6764,71.0047
-0.140954,0.562371,1.38e-05,0.985999,218.907,58.5003,2.77855,11.4662,0.553252,0.833014,72.7775,2.99868,-185.048,-177.167,-183.589,-183.511,70.463,82.329,72.6601
-0.145248,0.555168,1.39e-05,0.986027,221.906,58.5196,2.76695,11.4565,0.553183,0.83306,74.4365,2.99868,-187.539,-179.671,-186.089,-186.009,72.1314,83.9804,74.3155
-0.149416,0.541043,1.4e-05,0.986082,224.905,58.5572,2.74285,11.4609,0.553113,0.833106,76.0952,2.99867,-190.024,-182.168,-188.589,-188.507,73.8101,85.6434,75.9707
-0.153455,0.534119,1.41e-05,0.986111,227.903,58.5757,2.71869,11.452,0.553041,0.833154,77.7537,2.99867,-192.509,-184.672,-191.09,-191.005,75.4886,87.295,77.6258
-0.157358,0.520543,1.43e-05,0.986167,230.902,58.6119,2.69661,11.4458,0.552967,0.833203,79.412,2.99866,-194.995,-187.174,-193.591,-193.504,77.1651,88.9487,79.2808
-0.161123,0.513888,1.44e-05,0.986196,233.901,58.6296,2.69238,11.4274,0.552892,0.833253,81.07,2.99865,-197.491,-189.684,-196.091,-196.002,78.8266,90.5919,80.9358
-0.164743,0.500838,1.46e-05,0.986254,236.899,58.6644,2.70473,11.4229,0.552815,0.833304,82.7278,2.99865,-199.996,-192.186,-198.592,-198.501,80.474,92.2465,82.5906
-0.168215,0.49444,1.47e-05,0.986283,239.898,58.6815,2.71146,11.4277,0.552737,0.833356,84.3854,2.99864,-202.498,-194.683,-201.093,-201,82.1258,93.9088,84.2452
