 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.194112,2.32219,0.0016729,2.54815,134.94,51.1854,4.16814,7.06203,-0.827213,0.561889,33.0064,2.99854,28.4639,19.1741,24.8554,25.0159,30.6643,36.9744,33.1154
0.187616,2.3086,0.0017803,2.5516,137.939,51.276,4.36437,6.8576,-0.829471,0.558549,30.5232,2.99878,26.9566,17.6483,23.1809,23.3365,28.0855,34.3535,30.628
0.177495,2.28173,0.0019952,2.55914,140.938,51.4551,4.57477,6.64598,-0.831834,0.555025,28.033,2.99908,25.4727,16.1389,21.5196,21.6672,25.4938,31.7216,28.1315
0.162925,2.26845,0.0021098,2.56324,143.937,51.5437,4.79701,6.43031,-0.834289,0.551327,25.5352,2.99943,24.0107,14.6439,19.8727,20.0086,22.8905,29.0804,25.625
0.143159,2.24219,0.0022235,2.57192,146.936,51.7188,5.02952,6.22253,-0.836888,0.547374,23.0296,2.99971,22.5703,13.1536,18.2414,18.3612,20.2766,26.4357,23.108
0.118465,2.2292,0.0022586,2.5764,149.936,51.8053,5.26831,6.02022,-0.839725,0.543012,20.5157,2.99979,21.15,11.6708,16.6266,16.7261,17.6549,23.7847,20.58
0.0898198,2.20352,0.0023399,2.58559,152.936,51.9765,5.52004,5.80094,-0.842819,0.538196,17.9927,2.99968,19.7571,10.2155,15.029,15.1047,15.0219,21.1148,18.0411
0.058225,2.18929,0.0023791,2.5903,155.935,52.0612,5.77446,5.57952,-0.846158,0.532932,15.4601,2.9994,18.3845,8.77722,13.4491,13.4984,12.3827,18.4336,15.4912
0.024689,2.16003,0.0024576,2.59997,158.935,52.2284,6.02717,5.3726,-0.849736,0.527209,12.9172,2.99899,17.0301,7.34332,11.8876,11.9086,9.73967,15.7497,12.9303
-0.0097718,2.14557,0.0024966,2.60492,161.934,52.311,6.30972,5.14878,-0.853542,0.521023,10.3635,2.99849,15.7224,5.9421,10.3451,10.3368,7.07595,13.0461,10.3584
-0.0441351,2.11703,0.0025745,2.61505,164.932,52.4741,6.57172,4.95545,-0.857569,0.514368,7.79812,2.99793,14.4201,4.53473,8.82222,8.78438,4.41784,10.347,7.77542
-0.0773753,2.10293,0.0026134,2.62024,167.93,52.5547,6.82251,4.7743,-0.861806,0.507237,5.22061,2.99737,13.1324,3.13822,7.31942,7.25274,1.75998,7.64231,5.18136
-0.108466,2.07508,0.0026921,2.63084,170.927,52.7139,7.06458,4.60594,-0.866242,0.499624,2.63028,2.99686,11.863,1.75345,5.83727,5.74331,-0.899351,4.93152,2.57609
-0.136386,2.06132,0.0027313,2.63626,173.924,52.7925,7.30074,4.44395,-0.870865,0.491522,0.0265112,2.99646,10.6155,0.387443,4.3763,4.25752,-3.56196,2.21081,-0.0405255
