x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
44.0872816; -25.7154165; 1.2533919; 0.8160081; 0.8864297; -0.4628633; 0.1629365; 104.6302512; -0.4845797; 0.0069801; 14.0054087; 5.4899036
44.5565591; -24.8186657; 1.2195201; 0.8399331; 0.8856251; -0.4644010; 0.1597618; 105.6420961; -0.4754505; 0.0060433; 14.5453433; 5.5055141
45.0252485; -23.9264132; 1.2027476; 0.8666524; 0.8849886; -0.4656127; 0.1488550; 106.6498062; -0.4714054; 0.0055076; 14.8079216; 5.5244081
45.4933078; -23.0379163; 1.1933085; 0.8760915; 0.8845240; -0.4664947; 0.1314396; 107.6540621; -0.4644927; 0.0043509; 15.3224644; 5.5451776
45.9606950; -22.1524319; 1.1340241; 0.9353759; 0.8842351; -0.4670420; 0.1087743; 108.6555101; -0.4616607; 0.0037388; 15.5737270; 5.5422058
46.4273679; -21.2692171; 1.1002320; 0.9691680; 0.8841245; -0.4672514; 0.0821338; 109.6547677; -0.4572925; 0.0025039; 16.0650219; 5.5676536
46.8932846; -20.3875289; 1.0945378; 0.9748622; 0.8841936; -0.4671207; 0.0527848; 110.6524312; -0.4557527; 0.0018955; 16.3058104; 5.5416869
47.3584030; -19.5066243; 1.0876279; 0.9817721; 0.8844434; -0.4666475; 0.0219595; 111.6490836; -0.4538910; 0.0007935; 16.7753705; 5.5639555
47.8226809; -18.6257604; 1.0531050; 1.0162950; 0.8848708; -0.4658365; -0.0091772; 112.6453037; -0.4535089; 0.0003100; 17.0059519; 5.5320628
48.2860765; -17.7441942; 1.0205681; 1.0488319; 0.8854836; -0.4646706; -0.0395822; 113.6416735; -0.4534059; -0.0000155; 17.2321531; 5.5304277
48.7485510; -16.8612202; 1.0012416; 1.0681584; 0.8862152; -0.4632737; -0.0683950; 114.6387622; -0.4539454; -0.0007627; 17.6759557; 5.5180702
49.2101074; -15.9765648; 1.0016933; 1.0677067; 0.8869513; -0.4618629; -0.0949718; 115.6368087; -0.4545963; -0.0010968; 17.8931417; 5.4989020
49.6707748; -15.0902318; 1.0181130; 1.1101760; 0.8876647; -0.4604904; -0.1188885; 116.6358295; -0.4564113; -0.0014382; 18.3185075; 5.5017704
50.1305829; -14.2022295; 1.0089179; 1.0604821; 0.8883618; -0.4591440; -0.1399111; 117.6358402; -0.4574451; -0.0015152; 18.5275473; 5.4687214
50.5895613; -13.3125662; 0.9966463; 1.0727537; 0.8890413; -0.4578270; -0.1579481; 118.6368625; -0.4585132; -0.0015337; 18.7330198; 5.2112540
