start_layer,start_idx,end_layer,end_idx,coeffs_x,coeffs_y,kappa,points_x,points_y,raceline
0,2,1,3,143.111 12.0212 -1.65699 1.10143,-131.348 -8.98451 -2.08396 1.38499,-0.0236312 -0.0211749 -0.0186961 -0.0162058 -0.0137124 -0.0112209 -0.00873437 -0.00625369 -0.00377829 -0.00130652 0.0011639 0.00363548 0.00611054 0.00859077 0.0110768 0.0135678 0.016061 0.0185514 0.0210308 0.0234884 0,143.111 -131.348 143.739 -131.827 144.359 -132.315 144.972 -132.813 145.578 -133.319 146.179 -133.832 146.776 -134.35 147.37 -134.872 147.961 -135.397 148.55 -135.924 149.139 -136.452 149.729 -136.98 150.319 -137.505 150.913 -138.027 151.509 -138.546 152.11 -139.059 152.716 -139.565 153.329 -140.063 153.948 -140.553 154.576 -141.032,0
0,2,1,4,143.111 12.0847 -3.4596 2.30092,-131.348 -9.03196 -4.09346 2.72167,-0.047009 -0.0422623 -0.0373348 -0.0323166 -0.0272728 -0.0222458 -0.0172583 -0.0123174 -0.00741821 -0.00254748 0.0023128 0.00718232 0.0120793 0.0170171 0.0220013 0.0270254 0.0320675 0.0370863 0.0420178 0.0467733 0,143.111 -131.348 143.737 -131.835 144.347 -132.341 144.941 -132.866 145.523 -133.406 146.093 -133.959 146.654 -134.523 147.208 -135.095 147.757 -135.674 148.303 -136.256 148.848 -136.839 149.394 -137.421 149.943 -138 150.496 -138.573 151.057 -139.137 151.627 -139.691 152.208 -140.232 152.802 -140.757 153.411 -141.265 154.037 -141.752,0
0,3,1,1,142.572 12.0839 2.99071 -1.99109,-132.069 -9.04083 4.54593 -3.02698,0.0476961 0.0428778 0.0378711 0.0327701 0.0276429 0.0225336 0.0174659 0.012447 0.00747167 0.00252589 -0.00240926 -0.00735442 -0.0123286 -0.0173459 -0.0224119 -0.0275197 -0.0326461 -0.0377474 -0.0427561 -0.047579 0,142.572 -132.069 143.216 -132.533 143.875 -132.974 144.547 -133.395 145.23 -133.799 145.923 -134.189 146.623 -134.566 147.33 -134.934 148.041 -135.296 148.755 -135.653 149.47 -136.01 150.184 -136.367 150.895 -136.729 151.602 -137.097 152.303 -137.474 152.996 -137.863 153.68 -138.267 154.352 -138.687 155.011 -139.128 155.655 -139.591,0
0,3,1,2,142.572 12.0181 1.576 -1.05017,-132.069 -8.99158 2.24628 -1.49686,0.0243492 0.0218129 0.0192519 0.0166786 0.0141019 0.0115275 0.00895859 0.0063961 0.00383938 0.00128659 -0.0012648 -0.00381756 -0.00637423 -0.00893664 -0.0115055 -0.0140798 -0.0166564 -0.0192297 -0.0217908 -0.0243274 0,142.572 -132.069 143.209 -132.537 143.853 -132.993 144.505 -133.439 145.162 -133.877 145.825 -134.307 146.491 -134.732 147.161 -135.152 147.833 -135.569 148.507 -135.984 149.181 -136.398 149.854 -136.812 150.526 -137.229 151.196 -137.649 151.863 -138.074 152.525 -138.504 153.183 -138.942 153.834 -139.388 154.479 -139.844 155.116 -140.311,0
0,3,1,3,142.572 11.9952 0.0322137 -0.0231944,-132.069 -8.97451 0.0430903 -0.0310226,0.000479447 0.000424943 0.00037044 0.000315936 0.000261433 0.000206929 0.000152426 9.79228e-05 4.34196e-05 -1.10837e-05 -6.55869e-05 -0.00012009 -0.000174594 -0.000229097 -0.000283601 -0.000338104 -0.000392608 -0.000447111 -0.000501614 -0.000556117 0,142.572 -132.069 143.203 -132.541 143.835 -133.014 144.467 -133.485 145.098 -133.957 145.73 -134.429 146.362 -134.9 146.994 -135.371 147.627 -135.843 148.259 -136.314 148.891 -136.785 149.523 -137.257 150.155 -137.728 150.787 -138.199 151.419 -138.671 152.051 -139.143 152.682 -139.615 153.314 -140.087 153.945 -140.559 154.576 -141.032,0
0,3,1,4,142.572 12.0157 -1.64131 1.09027,-132.069 -8.98979 -2.063 1.37008,-0.023403 -0.0209719 -0.0185187 -0.0160544 -0.013587 -0.0111215 -0.00866083 -0.00620578 -0.00375587 -0.00130949 0.00113556 0.00358171 0.00603122 0.00848572 0.0109458 0.0134108 0.0158779 0.0183423 0.0207962 0.0232289 0,142.572 -132.069 143.2 -132.548 143.82 -133.037 144.433 -133.535 145.039 -134.041 145.64 -134.553 146.237 -135.071 146.831 -135.593 147.422 -136.118 148.011 -136.645 148.6 -137.172 149.19 -137.699 149.781 -138.225 150.374 -138.747 150.971 -139.265 151.571 -139.778 152.178 -140.284 152.79 -140.783 153.409 -141.273 154.037 -141.752,0
0,3,1,5,142.572 12.0791 -3.44384 2.2897,-132.069 -9.03728 -4.07239 2.70667,-0.046787 -0.0420629 -0.0371606 -0.0321687 -0.0271514 -0.0221506 -0.0171887 -0.0122726 -0.00739768 -0.00255087 0.00228558 0.00713104 0.0120034 0.0169161 0.0218743 0.0268719 0.0318872 0.0368798 0.0417866 0.0465206 0,142.572 -132.069 143.198 -132.556 143.808 -133.063 144.402 -133.587 144.984 -134.127 145.554 -134.68 146.115 -135.244 146.669 -135.816 147.218 -136.394 147.764 -136.976 148.309 -137.559 148.855 -138.141 149.404 -138.72 149.958 -139.292 150.519 -139.857 151.088 -140.41 151.669 -140.951 152.263 -141.477 152.871 -141.984 153.497 -142.472,0
0,4,1,2,142.033 12.0783 3.00646 -2.00229,-132.79 -9.04615 4.56703 -3.042,0.0479338 0.0430913 0.0380579 0.0329288 0.0277733 0.0226361 0.0175412 0.0124958 0.00749458 0.00252333 -0.0024372 -0.00740798 -0.0124083 -0.0174525 -0.0225462 -0.0276823 -0.0328372 -0.0379664 -0.0430015 -0.0478473 0,142.033 -132.79 142.677 -133.254 143.336 -133.695 144.008 -134.117 144.691 -134.521 145.384 -134.91 146.084 -135.287 146.791 -135.655 147.502 -136.017 148.216 -136.374 148.931 -136.73 149.645 -137.087 150.357 -137.448 151.064 -137.816 151.764 -138.193 152.457 -138.582 153.141 -138.986 153.813 -139.407 154.472 -139.848 155.116 -140.311,0
0,4,1,3,142.033 12.0125 1.59168 -1.06134,-132.79 -8.99686 2.26725 -1.51178,0.0245854 0.0220232 0.0194356 0.0168355 0.0142318 0.0116306 0.00903503 0.00644607 0.00386304 0.00128405 -0.00129352 -0.00387252 -0.00645557 -0.00904457 -0.0116402 -0.0142414 -0.0168451 -0.0194452 -0.0220327 -0.0245949 0,142.033 -132.79 142.67 -133.258 143.314 -133.714 143.966 -134.16 144.623 -134.598 145.285 -135.028 145.952 -135.453 146.622 -135.873 147.294 -136.289 147.968 -136.704 148.642 -137.118 149.315 -137.532 149.988 -137.949 150.658 -138.369 151.324 -138.793 151.987 -139.224 152.644 -139.662 153.295 -140.108 153.94 -140.564 154.576 -141.032,0
0,4,1,4,142.033 11.9897 0.0478783 -0.0343461,-132.79 -8.97978 0.0640038 -0.0459073,0.000712422 0.000631736 0.000551049 0.000470361 0.000389674 0.000308987 0.0002283 0.000147613 6.69262e-05 -1.37604e-05 -9.4447e-05 -0.000175134 -0.000255821 -0.000336508 -0.000417195 -0.000497883 -0.00057857 -0.000659258 -0.000739944 -0.00082063 0,142.033 -132.79 142.664 -133.263 143.296 -133.735 143.927 -134.207 144.559 -134.678 145.191 -135.15 145.823 -135.621 146.455 -136.092 147.088 -136.563 147.72 -137.034 148.352 -137.505 148.984 -137.977 149.616 -138.448 150.248 -138.919 150.88 -139.391 151.512 -139.862 152.143 -140.334 152.775 -140.806 153.406 -141.279 154.037 -141.752,0
